,ids,img_quantities,hopkins
0,10003327,15,0.921783037588543
1,10008016,14,0.99958245658095
3,10010617,101,1.0
4,10012036,99,1.0
5,10027741,73,1.0
6,10037617,37,0.999999987544009
7,10040445,73,1.0
8,10041099,29,1.0
9,10060678,94,1.0
11,10071055,101,1.0
12,10073246,94,1.0
13,10090698,80,1.0
14,10090952,14,1.0
15,10099400,99,1.0
16,10107912,15,1.0
17,10108036,11,0.964577285828728
18,10108775,101,1.0
19,10111734,52,1.0
20,10137876,95,1.0
21,10150972,16,1.0
23,10171778,13,1.0
24,10172515,23,1.0
26,10197024,35,1.0
28,10214759,30,1.0
29,10222287,94,1.0
30,10238910,100,1.0
31,10242935,35,1.0
32,10248926,97,1.0
34,10255521,101,1.0
37,10305703,60,1.0
38,10316373,100,1.0
40,10323509,32,0.999999999999878
41,10331743,42,1.0
42,10334868,98,1.0
43,10342163,15,0.988046031673583
44,10353143,59,1.0
45,10363580,93,0.999999992200078
47,10373890,17,1.0
48,10381776,98,1.0
49,10390120,16,1.0
51,10395382,96,1.0
52,10424891,39,0.889505973329003
54,10452812,10,0.706273502453048
55,10473306,10,1.0
56,10480294,11,1.0
57,10487667,96,1.0
58,10497222,11,0.999252963705438
60,10511919,101,1.0
61,10514274,98,1.0
62,10516177,99,1.0
63,10516307,11,0.74
65,10540409,101,1.0
66,10541484,25,1.0
68,10585474,10,0.78
69,10602692,14,0.99004210740292
70,10606799,74,1.0
71,10612578,97,1.0
72,10629007,100,1.0
73,10629881,101,1.0
74,10647777,100,1.0
76,10668105,19,0.914368450636233
79,10675147,15,1.0
80,10677735,21,0.938090417173768
81,10680227,26,0.999999999999999
82,10681352,100,1.0
84,10684139,100,1.0
86,10685706,36,1.0
87,10686369,22,1.0
88,10686419,41,1.0
89,10687779,15,1.0
91,10689300,74,1.0
92,10690646,15,1.0
93,10690761,15,0.990538888139741
94,10691585,11,1.0
95,10691906,51,1.0
96,10693167,35,1.0
97,10694125,18,1.0
98,10694859,16,0.999999999446918
99,10695181,51,1.0
100,10695336,13,0.999999999999413
103,10698038,15,0.939011884093845
105,10699427,30,0.999999999999481
106,10700112,38,1.0
107,10701883,25,1.0
108,10705072,80,1.0
109,10705530,10,0.857881665967683
111,10706498,90,1.0
116,10708874,27,1.0
118,10710170,28,1.0
122,10716638,23,1.0
123,10717476,13,0.911389149821572
125,10718308,49,1.0
126,10719064,98,1.0
127,10721565,101,1.0
130,10724823,41,1.0
131,10725593,22,0.999999985347499
133,10726319,37,1.0
134,10726393,16,1.0
135,10727084,33,1.0
138,10727713,100,1.0
141,10728559,12,0.74
142,10730110,22,1.0
143,10731495,23,0.999994218666055
144,10732003,21,1.0
145,10732491,94,1.0
146,10732597,99,1.0
147,10732853,95,1.0
149,10733097,11,0.980908980181013
150,10733800,14,1.0
152,10734509,26,0.999999999236798
153,10736919,97,1.0
154,10737304,94,1.0
155,10737975,21,1.0
156,10739056,21,0.953087877847846
157,10739466,106,1.0
158,10744504,13,0.99603973466153
159,10746680,29,1.0
160,10748171,22,1.0
162,10748819,10,0.730000000000056
163,10749477,19,0.999999999999998
164,10751420,43,1.0
167,10753022,29,1.0
168,10753052,10,1.0
169,10753400,15,0.718203453781193
170,10754082,73,1.0
171,10754356,14,0.757957004592724
172,10755905,12,1.0
173,10756422,45,1.0
175,10758138,100,1.0
176,10758429,97,1.0
177,10759202,57,1.0
178,10759446,10,0.729999999995126
