,ids,img_quantities,hopkins
0,10003327,15,0.883833956398745
1,10008016,14,0.77
2,10010617,101,1.0
3,10012036,99,0.885330139716094
4,10027741,73,1.0
5,10037617,37,1.0
6,10040445,73,1.0
7,10041099,29,1.0
9,10060678,94,1.0
11,10071055,101,1.0
12,10073246,94,1.0
13,10079361,13,1.0
15,10090698,80,1.0
16,10090952,14,1.0
17,10099400,99,1.0
18,10107912,15,1.0
19,10108036,11,0.999992586141488
20,10108775,101,1.0
21,10111734,52,1.0
22,10137876,95,1.0
23,10141067,10,1.0
24,10150972,16,1.0
26,10172515,23,1.0
30,10197024,35,0.999999883087718
34,10214759,30,1.0
35,10222287,94,1.0
36,10238910,100,1.0
37,10242935,35,1.0
38,10248926,97,1.0
40,10255521,101,1.0
43,10305703,60,1.0
44,10316373,100,1.0
46,10323509,32,1.0
47,10331743,42,1.0
48,10334868,98,1.0
49,10342163,15,1.0
50,10353143,59,1.0
51,10355867,19,1.0
52,10363580,93,1.0
54,10373890,17,0.999999999995311
55,10381776,98,1.0
56,10390120,16,1.0
58,10395382,96,1.0
59,10404690,11,0.72
61,10424891,39,1.0
63,10453102,15,1.0
64,10473306,10,1.0
65,10480294,11,1.0
66,10487667,96,1.0
67,10497222,11,1.0
69,10511919,101,1.0
70,10514274,98,1.0
71,10516177,99,1.0
72,10516307,11,0.800000000003627
75,10540409,101,1.0
76,10541484,25,0.999999997305388
78,10585474,10,0.76565483535561
79,10602692,14,1.0
80,10606799,74,1.0
81,10612578,97,1.0
82,10629007,100,1.0
83,10629881,101,1.0
84,10647777,100,1.0
86,10668105,19,0.823805229503677
89,10675147,15,0.999999997729594
91,10677735,21,1.0
92,10680227,26,0.999999999999814
93,10681352,100,1.0
96,10684139,100,1.0
97,10685706,36,1.0
98,10685791,28,0.720000000918294
99,10686369,22,1.0
100,10686419,41,1.0
101,10687779,15,1.0
103,10689300,74,1.0
105,10690646,15,0.999999641155876
106,10690761,15,0.730000072269277
107,10691906,51,0.999999999999998
109,10693167,35,1.0
110,10694125,18,0.999998933753931
111,10694859,16,1.0
112,10695181,51,1.0
113,10695336,13,1.0
115,10696491,10,0.81
117,10698038,15,1.0
119,10699427,30,1.0
120,10700112,38,0.99999999907726
121,10701883,25,1.0
122,10705072,80,1.0
123,10705530,10,1.0
125,10706498,90,1.0
128,10708874,27,1.0
130,10710170,28,1.0
134,10715732,11,1.0
135,10716638,23,1.0
136,10717476,13,0.999998089145898
137,10718308,49,1.0
138,10719064,98,1.0
139,10721565,101,1.0
142,10724201,11,0.72
144,10724823,41,0.999999916366604
145,10725593,22,1.0
146,10726319,37,1.0
147,10726393,16,1.0
148,10727084,33,1.0
152,10727713,100,1.0
156,10730110,22,1.0
157,10731495,23,0.999999995024752
158,10732003,21,0.999999999999806
159,10732491,94,1.0
160,10732597,99,1.0
161,10732853,95,1.0
163,10733097,11,1.0
164,10733800,14,1.0
166,10734509,26,1.0
167,10736919,97,1.0
168,10737304,94,1.0
169,10737975,21,1.0
170,10739056,21,1.0
171,10739466,106,1.0
173,10743531,11,0.999993994798121
174,10744504,13,1.0
176,10746680,29,1.0
177,10748171,22,1.0
178,10748819,10,1.0
179,10749477,19,1.0
181,10751420,43,1.0
184,10753022,29,1.0
185,10753052,10,1.0
186,10753400,15,0.7
187,10754082,73,1.0
188,10754356,14,1.0
190,10755905,12,1.0
191,10756422,45,1.0
192,10758138,100,1.0
193,10758429,97,0.999999999998587
194,10759202,57,1.0
195,10759446,10,1.0
196,10759691,96,1.0
198,10763433,11,0.999999999999644
199,10767235,17,1.0
200,10767432,106,1.0
201,10767444,101,1.0
203,10770822,13,0.999895309160294
204,10771315,12,1.0
206,10773252,10,1.0
209,10774955,101,1.0
210,10775394,43,1.0
211,10775938,99,1.0
212,10776760,100,1.0
213,10778654,22,0.740000022639222
214,10779983,31,1.0
216,10780260,15,1.0
217,10780933,29,1.0
218,10780986,100,1.0
219,10781307,100,1.0
220,10781752,86,1.0
221,10781858,14,1.0
222,10782427,88,0.750947832313684
223,10783168,95,1.0
224,10783678,19,1.0
225,10786804,64,1.0
227,10786834,45,1.0
228,10787822,33,1.0
229,10789098,95,1.0
230,10789396,15,1.0
231,10789822,101,0.999999999999806
232,10790895,99,0.770000089362315
233,10792236,10,1.0
235,10794683,101,1.0
237,10798769,35,1.0
238,10799139,24,1.0
239,10800064,32,1.0
241,10802982,23,1.0
244,10803243,29,1.0
245,10803322,83,1.0
247,10804938,24,1.0
248,10805020,28,1.0
249,10809378,51,1.0
250,10809391,45,1.0
251,10809860,100,1.0
252,10810655,100,1.0
255,10812682,29,1.0
256,10815719,69,1.0
257,10816285,99,1.0
258,10818727,14,1.0
260,10820655,25,1.0
261,10821048,12,0.720000548492601
262,10822756,15,1.0
264,10823174,50,1.0
265,10824476,33,1.0
268,10825085,20,1.0
269,10825869,87,1.0
270,10827207,26,0.999999999999912
272,10827283,95,1.0
273,10829464,24,1.0
274,10830801,100,1.0
276,10831381,12,0.71
278,10833216,101,1.0
280,10834674,10,1.0
282,10836914,11,1.0
283,10837131,18,0.999999999999993
284,10837718,98,1.0
285,10838720,100,1.0
286,10839092,16,1.0
289,10841740,73,1.0
290,10842625,13,1.0
291,10842904,46,1.0
292,10843456,18,1.0
293,10844030,72,1.0
294,10844446,39,1.0
295,10844734,98,1.0
298,10847496,12,1.0
299,10849946,34,0.999999992714294
301,10850957,20,1.0
302,10851814,98,1.0
305,10853058,84,1.0
307,10854225,97,1.0
308,10854254,27,1.0
309,10854344,15,1.0
310,10855510,101,1.0
311,10855596,100,1.0
312,10855938,41,1.0
314,10857414,16,1.0
315,10857972,26,1.0
316,10858781,98,1.0
317,10859972,95,1.0
318,10860029,38,1.0
319,10860100,41,1.0
320,10862244,20,1.0
321,10862973,21,1.0
322,10863132,101,1.0
323,10863524,14,1.0
324,10865990,70,1.0
325,10867304,99,1.0
326,10867751,32,1.0
328,10872399,20,0.999999999992185
329,10872751,69,1.0
332,10875747,14,1.0
333,10875965,10,0.999999999999997
334,10876044,64,1.0
336,10876550,48,0.999999986491168
337,10876583,18,0.999999999999384
338,10877019,97,1.0
339,10879699,66,1.0
340,10879791,98,1.0
342,10881517,26,0.999999999572098
343,10886814,15,0.999999688822051
344,10887098,11,0.999999999983176
345,10887390,37,1.0
346,10887479,27,1.0
347,10887646,20,1.0
349,10888366,39,0.798061546080716
350,10889076,37,1.0
351,10889111,101,1.0
352,10890901,95,1.0
353,10892213,35,1.0
354,10893370,45,1.0
355,10894029,14,1.0
358,10897475,93,1.0
359,10897861,12,0.999999999999655
360,10898305,89,1.0
361,10899307,24,1.0
362,10900093,22,1.0
364,10922335,23,1.0
366,10924252,99,1.0
367,10930170,96,1.0
368,10944522,94,1.0
369,10947397,25,1.0
370,10953587,17,1.0
371,10954319,15,0.99999999953636
372,10957758,12,1.0
373,10958461,12,1.0
374,10960347,19,0.999825142891515
375,10962387,12,1.0
376,10965911,53,1.0
379,10975167,101,1.0
380,10979113,10,1.0
382,10988944,12,1.0
383,10998169,43,1.0
384,11000712,99,1.0
385,11001304,12,1.0
386,11007469,31,1.0
387,11010389,26,1.0
388,11015968,10,1.0
390,11028170,19,1.0
391,11029231,48,1.0
392,11038189,100,1.0
393,11046740,98,1.0
394,11055577,21,0.781206414370267
395,11061660,18,1.0
396,11067359,21,1.0
397,11071158,101,1.0
398,11074877,65,1.0
400,11079147,13,1.0
404,11113273,100,1.0
406,11114441,10,0.806949229361954
407,11119173,85,1.0
408,11120729,10,1.0
409,11121628,11,0.963668457945947
410,11121973,19,1.0
412,11122887,104,1.0
413,11123240,22,0.751851759406767
414,11126114,11,0.73
415,11131846,11,0.999999999999371
416,11136476,20,1.0
417,11136883,101,1.0
420,11143075,36,1.0
421,11143277,32,1.0
422,11147712,58,1.0
423,11158826,24,1.0
424,11164167,95,1.0
426,11165505,14,1.0
427,11165910,12,1.0
428,11172036,101,1.0
429,11175358,35,1.0
431,11180263,97,1.0
433,11187551,20,1.0
434,11189194,80,1.0
435,11190409,101,1.0
437,11197471,35,1.0
439,11201833,70,1.0
