,class_ids,img_quantities,hopkins
0,10003327,15,1.0
1,10008016,14,0.75
2,10010617,101,1.0
3,10012036,99,0.883014934496715
4,10027741,73,1.0
5,10037617,37,1.0
6,10039120,13,0.72
7,10040445,73,1.0
8,10041099,29,1.0
10,10060678,94,1.0
12,10071055,101,1.0
13,10073246,94,1.0
14,10079361,13,1.0
16,10090698,80,1.0
17,10090952,14,1.0
18,10099400,99,1.0
20,10107912,15,1.0
21,10108036,11,0.70004666026117
22,10108775,101,1.0
23,10111734,52,1.0
24,10137876,95,1.0
25,10141067,10,1.0
26,10150972,16,1.0
28,10172515,23,1.0
31,10197024,35,0.796256516274501
34,10214759,30,1.0
35,10222287,94,1.0
36,10238910,100,1.0
37,10242935,35,1.0
38,10248926,97,1.0
40,10255521,101,1.0
43,10305703,60,1.0
44,10316373,100,1.0
45,10323509,32,1.0
46,10331743,42,1.0
47,10334868,98,1.0
48,10342163,15,1.0
49,10353143,59,1.0
50,10355867,19,1.0
51,10363580,93,1.0
53,10373890,17,1.0
54,10381776,98,1.0
55,10390120,16,1.0
57,10395382,96,1.0
58,10404690,11,0.75
60,10424891,39,1.0
62,10452812,10,0.750000120501931
63,10453102,15,1.0
64,10473306,10,1.0
65,10480294,11,1.0
66,10487667,96,1.0
67,10497222,11,1.0
69,10511919,101,1.0
70,10514274,98,1.0
71,10516177,99,1.0
72,10516307,11,0.7
75,10540409,101,1.0
76,10541484,25,1.0
78,10602692,14,1.0
79,10606799,74,1.0
80,10612578,97,1.0
81,10629007,100,1.0
82,10629881,101,1.0
83,10647777,100,1.0
88,10675147,15,0.999999999581414
89,10677735,21,1.0
90,10680227,26,1.0
91,10681352,100,1.0
94,10684139,100,1.0
95,10685706,36,1.0
96,10686369,22,1.0
97,10686419,41,1.0
98,10687779,15,1.0
100,10689300,74,1.0
103,10690646,15,1.0
104,10690761,15,0.826579221681463
105,10691585,11,0.827808101558454
106,10691906,51,1.0
108,10693167,35,1.0
110,10694125,18,0.999999999622172
111,10694859,16,1.0
112,10695181,51,1.0
113,10695336,13,1.0
115,10696491,10,0.7
117,10698038,15,1.0
119,10699427,30,1.0
120,10700112,38,1.0
121,10701883,25,1.0
122,10705072,80,1.0
123,10705530,10,1.0
125,10706498,90,1.0
129,10708874,27,1.0
131,10710170,28,1.0
136,10715732,11,1.0
137,10716638,23,1.0
138,10717476,13,0.75
139,10718308,49,1.0
140,10719064,98,1.0
141,10721565,101,1.0
143,10724201,11,0.81
145,10724823,41,1.0
146,10725593,22,1.0
148,10726319,37,1.0
149,10726393,16,1.0
150,10727084,33,1.0
154,10727713,100,1.0
156,10730110,22,1.0
157,10731495,23,0.778011456188159
158,10732003,21,1.0
159,10732491,94,1.0
160,10732597,99,1.0
161,10732853,95,1.0
163,10733097,11,1.0
164,10733800,14,1.0
166,10734509,26,1.0
167,10736169,14,0.76425171100241
168,10736919,97,1.0
169,10737304,94,1.0
170,10737975,21,0.999966636490091
171,10739056,21,1.0
172,10739466,106,1.0
173,10743531,11,1.0
174,10744504,13,1.0
176,10746680,29,1.0
177,10748171,22,1.0
178,10748819,10,1.0
179,10749477,19,1.0
181,10751420,43,1.0
184,10753022,29,1.0
185,10753052,10,1.0
186,10754082,73,1.0
187,10754356,14,1.0
189,10755905,12,1.0
190,10756422,45,1.0
192,10758138,100,1.0
193,10758429,97,1.0
194,10759202,57,1.0
195,10759446,10,1.0
196,10759691,96,1.0
198,10763433,11,1.0
199,10767235,17,1.0
200,10767432,106,1.0
201,10767444,101,1.0
203,10770822,13,0.721998594271417
204,10771315,12,1.0
206,10773252,10,1.0
208,10774955,101,1.0
209,10775394,43,1.0
210,10775938,99,1.0
211,10776760,100,1.0
212,10778654,22,0.720000000105225
213,10779983,31,1.0
215,10780260,15,1.0
216,10780933,29,1.0
217,10780986,100,1.0
218,10781307,100,1.0
219,10781752,86,1.0
220,10781858,14,1.0
221,10782427,88,0.999999983130201
222,10783168,95,1.0
224,10783678,19,1.0
225,10786804,64,1.0
226,10786834,45,1.0
227,10787822,33,1.0
228,10789098,95,1.0
229,10789396,15,0.84381031343635
230,10789822,101,1.0
231,10790895,99,0.700000000000003
232,10792236,10,1.0
234,10794683,101,1.0
235,10798769,35,1.0
236,10799139,24,1.0
237,10800064,32,1.0
238,10802982,23,1.0
241,10803243,29,1.0
242,10803322,83,1.0
244,10804938,24,1.0
245,10805020,28,1.0
246,10808762,14,0.7
247,10809378,51,1.0
248,10809391,45,1.0
249,10809860,100,1.0
250,10810655,100,1.0
253,10812682,29,1.0
254,10815719,69,1.0
255,10816285,99,1.0
257,10818727,14,1.0
259,10820655,25,1.0
260,10822756,15,1.0
262,10823174,50,1.0
264,10824476,33,1.0
267,10825085,20,1.0
268,10825869,87,1.0
