,ids,img_quantities,hopkins
0,10003327,15,0.911712363134452
1,10008016,14,0.908099999793045
2,10010617,101,0.995627841222958
3,10012036,99,0.99697914916258
4,10027741,73,0.99237696522499
5,10037617,37,0.996229032591157
6,10039120,13,0.870818532031664
7,10040445,73,0.997650990021137
8,10041099,29,0.987937016175029
10,10060678,94,0.995364936139733
12,10071055,101,0.99895836267481
13,10073246,94,0.996935507568111
14,10079361,13,0.945039792354461
18,10090698,80,0.997917314531198
19,10090952,14,0.9525469006516
20,10099400,99,0.989756099131821
21,10107912,15,0.944707308630183
22,10108036,11,0.925948252862196
23,10108775,101,0.996452765031796
24,10111734,52,0.993197005851311
25,10137876,95,0.996361523864582
26,10141067,10,0.807253620225934
27,10150972,16,0.962078113223698
29,10171778,13,0.937140639580416
30,10172515,23,0.97748206431789
32,10197024,35,0.988260041632056
35,10214759,30,0.984938909068258
36,10222287,94,0.998111378613783
37,10238910,100,0.997869454292667
38,10242935,35,0.986727245355892
39,10248926,97,0.994121492103374
41,10255521,101,0.997195842829058
43,10305703,60,0.99587324818677
44,10316373,100,0.99085071187365
45,10323509,32,0.986097479010581
46,10331743,42,0.989662627273355
47,10334868,98,0.998697550091674
48,10342163,15,0.941360950585325
49,10353143,59,0.993544642885871
50,10355867,19,0.956011687013119
51,10363580,93,0.995807524718528
53,10373890,17,0.932472634993284
54,10381776,98,0.995620590671773
55,10390120,16,0.913147099972228
57,10395382,96,0.99754034382938
58,10404690,11,0.863691448582378
60,10424891,39,0.976913602159325
62,10452812,10,0.909349060391356
63,10453102,15,0.910867482180775
64,10473306,10,0.921173451502406
65,10480294,11,0.922207649416125
66,10487667,96,0.994396671823719
67,10497222,11,0.892748691560321
69,10511919,101,0.997237840670382
70,10514274,98,0.997845496889514
71,10516177,99,0.99905532256212
72,10516307,11,0.921352990678113
75,10540409,101,0.995862937920926
76,10541484,25,0.965469508768487
78,10585474,10,0.826112148187675
79,10602692,14,0.952971647105512
80,10606799,74,0.996722223225488
81,10612578,97,0.997347220923528
82,10629007,100,0.98834068573452
83,10629881,101,0.996521323859897
85,10647777,100,0.992177173958073
87,10668105,19,0.975156588643062
92,10675147,15,0.902365677358621
93,10677735,21,0.960398844205199
94,10680227,26,0.980603012971256
95,10681352,100,0.98253489292391
99,10684139,100,0.997167773942603
101,10685706,36,0.977203557783249
102,10685791,28,0.985599233722119
103,10686369,22,0.963841929440111
104,10686419,41,0.987099371381366
105,10687779,15,0.951456232528455
107,10689300,74,0.996758094611837
109,10690646,15,0.974589901774195
110,10690761,15,0.982715087908765
111,10691585,11,0.900441522540595
112,10691906,51,0.972637294801801
114,10693167,35,0.96525519242067
115,10694125,18,0.923488337462533
116,10694859,16,0.924866374872162
117,10695181,51,0.989057439460856
118,10695336,13,0.863596011497553
120,10696491,10,0.926359119225597
123,10698038,15,0.96258603052968
125,10699427,30,0.993698732120197
126,10700112,38,0.985218174294752
127,10701883,25,0.986160296090921
128,10705072,80,0.99900645265687
129,10705530,10,0.897427433990867
131,10706498,90,0.997475825950252
133,10708218,13,0.942949625108678
136,10708874,27,0.981646132864747
139,10710170,28,0.989893111920565
144,10715732,11,0.924003876673065
145,10716638,23,0.972949226098101
146,10717476,13,0.970390902505586
147,10718308,49,0.993377212238639
148,10719064,98,0.998434897019151
149,10721565,101,0.997223167038074
152,10724201,11,0.884957177934454
154,10724823,41,0.978997095575669
156,10725593,22,0.938800913626247
157,10726319,37,0.978512221623542
158,10726393,16,0.96675046001815
159,10727084,33,0.985471537134446
163,10727713,100,0.99633388785035
166,10728559,12,0.853359317322231
168,10730110,22,0.990138160917331
169,10731495,23,0.947061424303433
170,10732003,21,0.953175444413118
171,10732491,94,0.991730844758853
172,10732597,99,0.994389483169705
173,10732853,95,0.999086740047084
175,10733097,11,0.953405264637288
176,10733800,14,0.966514908149504
178,10734509,26,0.977465553414742
179,10736169,14,0.921368552313291
180,10736919,97,0.996176645327014
181,10737304,94,0.998142291780909
182,10737975,21,0.951172710596589
183,10739056,21,0.965356100753191
184,10739466,106,0.999125794175291
186,10743531,11,0.878583249272843
187,10744504,13,0.919808055260996
189,10746680,29,0.97335925580155
190,10748171,22,0.971499244405453
192,10748819,10,0.860403264151696
193,10749477,19,0.95869728956309
195,10751420,43,0.993763903714273
197,10752836,17,0.888242549618239
198,10753022,29,0.986940334173723
199,10753052,10,0.925486006289316
200,10753400,15,0.960893915060934
201,10754082,73,0.995281277801501
202,10754356,14,0.923443331094172
204,10755905,12,0.911642310182317
205,10756422,45,0.994281347207768
207,10758138,100,0.998377016292742
208,10758429,97,0.99180361782893
209,10759202,57,0.988789688509153
210,10759446,10,0.913537777370472
211,10759691,96,0.998086270495492
213,10763433,11,0.951225403941046
215,10767235,17,0.917813547953038
216,10767432,106,0.998489372326191
217,10767444,101,0.99838651958948
218,10770822,13,0.962843894209556
219,10771315,12,0.946530767126784
221,10773252,10,0.858413717101021
223,10774955,101,0.99881064284192
224,10775394,43,0.968941819973617
225,10775938,99,0.996730637123719
226,10776760,100,0.989330219732498
227,10778654,22,0.963457703983589
228,10779983,31,0.984356209896789
230,10780260,15,0.946881483630853
231,10780933,29,0.992885085683628
232,10780986,100,0.994407209875563
233,10781307,100,0.995710730260545
234,10781752,86,0.999015940774431
235,10781858,14,0.975263494684794
236,10782427,88,0.997809178601996
237,10783168,95,0.996761638382345
238,10783678,19,0.992333559178235
240,10786804,64,0.996064628962809
242,10786834,45,0.99473830754368
243,10787822,33,0.984320914523358
244,10789098,95,0.995928120570114
245,10789396,15,0.953186737447454
246,10789822,101,0.999050483175703
247,10790895,99,0.999349715572207
249,10792236,10,0.882811556184894
251,10794683,101,0.998814436643412
252,10798769,35,0.984266511864605
253,10799139,24,0.990888810896348
254,10800064,32,0.993906306298353
256,10802982,23,0.938031107899292
258,10803243,29,0.979648122231299
259,10803322,83,0.998111565257827
261,10804938,24,0.971923145785732
262,10805020,28,0.992983238333027
263,10806578,17,0.964017046817806
264,10808762,14,0.935097823884308
265,10809378,51,0.995627840921103
266,10809391,45,0.998540256765942
267,10809860,100,0.998457857465794
268,10810655,100,0.998958990235684
270,10812682,29,0.966081669860165
271,10815719,69,0.992784604404737
272,10816285,99,0.994398360298595
275,10818727,14,0.953422066260424
276,10820655,25,0.975964481710356
277,10821048,12,0.903569788716732
278,10822756,15,0.966856503443865
