,ids,img_quantities,hopkins
0,10010617,101,0.784220255061809
1,10012036,99,0.776522765094796
2,10027741,73,0.755446940774425
3,10040445,73,0.740864767939288
4,10060678,94,0.78493559766032
5,10071055,101,0.801502889271548
6,10073246,94,0.738963895159839
7,10090698,80,0.74871470524172
8,10099400,99,0.771376417794774
9,10108775,101,0.770484004078954
10,10111734,52,0.731894730343558
11,10137876,95,0.742432705001296
12,10172515,23,0.735963103398351
13,10197024,35,0.701079892192117
14,10222287,94,0.73652721160319
15,10238910,100,0.788510284398823
16,10242935,35,0.702905422858953
17,10248926,97,0.784805754021262
18,10255521,101,0.783906699171321
19,10305703,60,0.744125841908641
20,10316373,100,0.774517957145724
21,10331743,42,0.70907007497798
22,10334868,98,0.741231982491884
23,10353143,59,0.717617436810822
24,10363580,93,0.747710045961137
25,10373890,17,0.730794805544928
26,10381776,98,0.772351215176165
27,10395382,96,0.762675274669826
28,10424891,39,0.728147977178797
29,10473306,10,0.715495620640509
30,10487667,96,0.764551507792455
31,10511919,101,0.769216609172264
32,10514274,98,0.744949931614449
33,10516177,99,0.762782754423825
34,10540409,101,0.765037557050602
35,10606799,74,0.768367857694692
36,10612578,97,0.739310235196174
37,10629007,100,0.77172670930783
38,10629881,101,0.774556798971819
39,10647777,100,0.791241036426257
40,10681352,100,0.770035693405693
41,10684139,100,0.756900643964779
42,10685706,36,0.863127103076886
43,10686419,41,0.751486241616248
44,10689300,74,0.73670659182761
45,10691906,51,0.728432335200005
46,10693167,35,0.719368925872659
47,10695181,51,0.769827040396313
48,10701883,25,0.705849342943097
49,10705072,80,0.786729105508233
50,10706498,90,0.777354534795925
51,10716638,23,0.712618075037248
52,10718308,49,0.716710632274361
53,10719064,98,0.760249318593332
54,10721565,101,0.752039227997081
55,10724823,41,0.703215427129456
56,10726319,37,0.729939060654069
57,10727084,33,0.752641094021994
59,10727713,100,0.750739945896142
60,10728559,12,0.722150322983246
61,10731495,23,0.712373521130722
62,10732491,94,0.791413490701001
63,10732597,99,0.739134822526506
64,10732853,95,0.748760660922636
65,10733097,11,0.721101683913161
66,10734509,26,0.741185880280373
67,10736919,97,0.741149943709068
68,10737304,94,0.788423512099767
69,10737975,21,0.712715987419283
70,10739466,106,0.789625612215978
71,10746680,29,0.721135395512486
72,10751420,43,0.704679015635119
73,10753022,29,0.700195452627211
74,10754082,73,0.73667627861
75,10755905,12,0.747233622665451
76,10756422,45,0.745576975991193
77,10758138,100,0.786175830849967
78,10758429,97,0.76764165344854
79,10759202,57,0.753606122581235
80,10759691,96,0.729821871735763
81,10767432,106,0.774568670046312
82,10767444,101,0.76095010540576
83,10774955,101,0.745527725775839
84,10775394,43,0.717232569028231
85,10775938,99,0.7681348383517
86,10776760,100,0.762257268628677
87,10779983,31,0.738756110644623
88,10780933,29,0.714980173390164
89,10780986,100,0.768521531276543
90,10781307,100,0.768016318095377
91,10781752,86,0.76415833562483
92,10782427,88,0.79478158146193
93,10783168,95,0.730037955893119
94,10786804,64,0.73146806067664
95,10786834,45,0.716725627989107
96,10787822,33,0.703879654335015
97,10789098,95,0.773685464935649
98,10789396,15,0.721935404169657
99,10789822,101,0.766614300124686
100,10790895,99,0.758472164612505
102,10794683,101,0.781459843209408
103,10800064,32,0.723171278510651
104,10803322,83,0.733593955638047
105,10809378,51,0.712169496040342
106,10809391,45,0.705569372470091
107,10809860,100,0.775955071084243
108,10810655,100,0.751804007355545
109,10815719,69,0.743950169465577
110,10816285,99,0.796721416164061
111,10823174,50,0.732701765904229
112,10824476,33,0.7182466757431
113,10825085,20,0.719086509405062
114,10825869,87,0.797733677130542
115,10827283,95,0.777490890100406
116,10830801,100,0.786531382150046
117,10833216,101,0.747781625653233
118,10835811,11,0.845858750395977
119,10837131,18,0.720753773386917
120,10837718,98,0.832640568279121
121,10838720,100,0.728284898412865
122,10841740,73,0.757370591098238
123,10842904,46,0.737083870678688
124,10844030,72,0.796910077204459
125,10844446,39,0.731976957595271
126,10844734,98,0.741494198953491
127,10849946,34,0.71372818049446
128,10851814,98,0.767398681094985
129,10853058,84,0.823959780405126
130,10854225,97,0.783957308037193
131,10855510,101,0.773202541419701
132,10855596,100,0.756534481080206
133,10855938,41,0.742458184456652
134,10856210,34,0.725890848673913
135,10858781,98,0.758324539942497
136,10859972,95,0.757625359281954
137,10860029,38,0.72912195819544
138,10860100,41,0.709195776107459
139,10862973,21,0.725899381967711
140,10863132,101,0.761896227182842
141,10865990,70,0.742366033445884
142,10867304,99,0.747464441491073
143,10872751,69,0.764156891957289
144,10875747,14,0.714094306826016
145,10876044,64,0.731561291833391
146,10876550,48,0.74371915387249
147,10877019,97,0.736170288017947
148,10879699,66,0.747620296921576
149,10879791,98,0.773462472356405
150,10881517,26,0.724236446026806
151,10887390,37,0.753994489618263
152,10888366,39,0.741561713799384
153,10889076,37,0.713518517513281
154,10889111,101,0.765469139834372
155,10890901,95,0.748567308771815
156,10893370,45,0.706746610602131
157,10897475,93,0.767427956565772
158,10898305,89,0.797036794988608
159,10922335,23,0.712429213260033
160,10924252,99,0.757329462609117
161,10930170,96,0.748441862644477
162,10944522,94,0.741513869745268
163,10953587,17,0.713695899144222
164,10954319,15,0.708577996700417
165,10965911,53,0.706380581808621
166,10975167,101,0.771970091172433
167,10998169,43,0.704658976099478
168,11000712,99,0.753788707446646
169,11015968,10,0.794380668453211
170,11029231,48,0.786007484898454
171,11038189,100,0.746992495541661
172,11046740,98,0.748993675473043
173,11071158,101,0.797252196993114
174,11074877,65,0.779624039949502
175,11113273,100,0.727041974137028
176,11119173,85,0.765173662534281
177,11121973,19,0.730566547522694
178,11122887,104,0.778231711231767
179,11136883,101,0.739900140532346
180,11143075,36,0.756942931729836
181,11147712,58,0.750435245257956
182,11164167,95,0.722736302611917
183,11172036,101,0.755075639490918
184,11175358,35,0.757587210134868
185,11180263,97,0.767609188322408
186,11189194,80,0.772477117331748
187,11190409,101,0.756956650675181
188,11197471,35,0.704807940431955
189,11201833,70,0.765617194727193
190,11203109,101,0.777401048934915
191,11207964,101,0.750067117930189
192,11208838,95,0.731682996534448
193,11372907,99,0.754285409771427
194,11374082,94,0.741195127759157
195,11374752,90,0.770716075751143
196,11376479,27,0.722433058655585
197,2650105,100,0.719201081229834
198,2650106,97,0.745702977805828
199,2650107,87,0.73269683952581
200,2650125,61,0.713227728396704
201,2650128,102,0.741139415728533
202,2650129,73,0.740053940641132
203,2650131,99,0.750259305621114
204,2650133,95,0.734145006508614
205,2650136,58,0.713983227989545
206,2650138,83,0.749883807088376
207,2650150,101,0.743707477415389
208,2650161,43,0.750470977125098
209,2650163,97,0.768362092973657
210,2650165,101,0.726860570220344
211,2650180,101,0.763270046800645
212,2650199,59,0.710304172119525
213,2650201,101,0.758780905427078
214,2650246,99,0.710506080455304
215,2650256,77,0.735483954429092
216,2650258,99,0.728803672380382
217,2650269,100,0.732204132815186
218,2650280,100,0.816998994052049
219,2650326,68,0.736821407323342
220,2650332,95,0.750172219624609
221,2650432,98,0.733062521416752
222,2650435,101,0.739491095975518
223,2650436,101,0.737124261857755
224,2650437,100,0.751672444604754
225,2650442,100,0.748384162277279
226,2650479,99,0.723163143120461
227,2650483,101,0.737480756772334
228,2650487,57,0.709814248778764
229,2650496,98,0.739834185292516
230,2650516,99,0.73741125001139
231,2650524,101,0.72947522691142
232,2650532,100,0.744828041670958
233,2650536,99,0.730295298588851
234,2650548,42,0.755917066922857
235,2650561,101,0.749048772589227
236,2650594,101,0.745243944870804
237,2650600,97,0.729684464040341
238,2650613,98,0.753203614735011
239,2650614,103,0.75375433949155
240,2650617,101,0.742654442064208
241,2650621,101,0.727438179811741
242,2650625,99,0.742339321066084
243,2650631,101,0.733417671381182
244,2650637,95,0.735100198329749
245,2650651,99,0.728023874249435
246,2650652,80,0.737764145200951
247,2650655,101,0.737796546739838
248,2650661,43,0.724870509900693
249,2650669,101,0.743714230461897
250,2650676,101,0.741591763062257
251,2650685,98,0.770703328070573
252,2650702,100,0.736501318966274
253,2650714,97,0.745207333221164
254,2650716,100,0.731659651524584
255,2650720,101,0.732315028205661
256,2650725,100,0.734929516907734
257,2650730,102,0.76876043719264
258,2650747,100,0.726352164463762
259,2650751,62,0.717728284403913
260,2650772,100,0.733442461971348
261,2650774,101,0.749503677554563
262,2650777,101,0.731461128413535
263,2650799,99,0.733886185321114
264,2650801,102,0.753785334392315
265,2650808,100,0.754152204123232
266,2650810,100,0.729411745811763
267,2650813,101,0.746904847229591
268,2650815,40,0.73365403773535
269,2650818,100,0.736472924314815
270,2650827,100,0.742302981549755
271,2650828,44,0.718646894790445
272,2650829,101,0.73267386641623
273,2650832,101,0.747587192643185
274,2650841,101,0.760585314028871
275,2650845,100,0.740272865293506
276,2650848,100,0.758531164116481
277,2650858,101,0.746096663920672
278,2650879,60,0.743389284110456
279,2650903,101,0.776342707653563
280,2650927,101,0.750164500922019
281,2650928,100,0.745456150210188
282,2650930,101,0.742241951668974
283,2650936,101,0.73885771555223
284,2650944,97,0.738112164347047
285,2650986,100,0.7353956123959
286,2650999,101,0.752937254580192
287,2651039,73,0.722167570399146
288,2651088,101,0.742367086310972
289,2651092,100,0.758674719601981
290,2651097,98,0.754162243052156
291,2651098,100,0.744709327862494
292,2651100,101,0.74297663215334
293,2651104,89,0.732556512640867
